donor_id,donation_amount,donation_date,account_type,donation_source
0014T00000N7mlE,10,2022-03-01,Core,Website
0014T00000EFBRG,20.6,2021-03-22,Core,Website
0014T00000D3ZP3,25,2021-12-01,Core,Website
0014T00000N7psg,103,2022-05-02,Core,Website
0014T000008Vj5F,10,2021-11-13,Core,Ads
0014T00000EFBRG,20.6,2021-04-22,Core,Website
0014T00000D3ZP3,25,2022-01-01,Core,Website
0014T000008Tcrt,12,2021-05-06,Core,Ads
0014T00000D3ZP3,25,2022-02-01,Core,Website
0014T000004xYxm,15,2022-05-11,Core,Ads
0014T000004yEA4,25,2021-06-06,Core,Website
